question,answer
"What is private equity and how does it differ from public equity?","To understand private equity: Step 1: Private equity (PE) funds invest in companies that are not listed on public stock exchanges. They acquire controlling stakes, improve operations, and sell the companies for a profit. Step 2: Key difference from public equity: PE investors are active owners who control strategy, management, and capital structure. Public equity investors are passive minority holders. Step 3: PE funds are illiquid — investors (limited partners) commit capital for 10 years with no ability to sell their stake before the fund exits. Step 4: Returns target 20%+ net IRR (vs. 10% for equities) to compensate for illiquidity, leverage, and active risk. Therefore, private equity suits investors with long time horizons who can tolerate illiquidity in exchange for potential outperformance."
"What is a leveraged buyout (LBO) and how does it work?","LBO explained step by step: Step 1: In an LBO, a PE firm acquires a company using mostly borrowed money — typically 60-70% debt, 30-40% equity. Step 2: The debt is secured by the company's own assets and cash flows. The company itself becomes responsible for repaying the debt. Step 3: Example: Buy a company for $500M. PE firm puts in $150M equity; borrows $350M. If the company's value grows to $800M in 5 years and debt is paid down to $200M, equity value = $600M. Return = 4× the $150M investment in 5 years — roughly 32% IRR. Step 4: LBOs work best on companies with: stable cash flows, pricing power, low existing debt, and clear operational improvement opportunities. Therefore, an LBO amplifies both returns and risk — excessive debt can bankrupt companies if cash flows disappoint."
"What is IRR (Internal Rate of Return) in private equity?","IRR calculation in PE: Step 1: IRR is the annualized return on investment that makes the Net Present Value (NPV) of all cash flows equal to zero. It accounts for both the size and timing of cash flows. Step 2: Example: Invest $100M today. Receive $250M in 5 years. IRR = (250/100)^(1/5) - 1 = 20.1%. Step 3: PE funds target IRR of 20%+ net of fees. Fund-level IRR accounts for management fees, carried interest, and the J-curve (early negative cash flows from capital calls before distributions). Step 4: IRR can be gamed by timing: an early exit with a modest return produces a high IRR; a long hold with the same absolute return produces lower IRR. Step 5: MOIC (Money-on-Invested-Capital) is used alongside IRR to measure absolute dollar returns. Therefore, evaluate PE investments using both IRR (time-adjusted) and MOIC (absolute return) together."
"What is MOIC (Multiple on Invested Capital)?","MOIC explained: Step 1: MOIC = Total Value Received / Total Capital Invested. It measures how many times you multiply your money. Step 2: Example: Invest $50M, receive $175M total proceeds. MOIC = 175/50 = 3.5x. Step 3: Unlike IRR, MOIC does not account for time — 3.5x in 3 years is far better than 3.5x in 10 years. Step 4: Typical PE fund targets: 2.0-2.5x MOIC over 5 years (equivalent to ~15-20% IRR). Exceptional funds target 3.0x+ MOIC. Step 5: MOIC is expressed in total value to paid-in (TVPI) at the fund level, which includes both unrealized and realized gains. Therefore, use IRR and MOIC together: IRR measures efficiency of returns over time; MOIC measures the total dollar magnitude of those returns."
"What is the J-curve effect in private equity?","J-curve explained: Step 1: The J-curve describes the typical cash flow pattern of a PE fund over its life. In early years (1-3), returns are negative because: capital is called but not yet invested profitably, management fees are charged, and investments haven't matured. Step 2: In middle years (4-7), portfolio companies improve and begin generating value, but exits haven't occurred yet — paper gains grow. Step 3: In later years (7-10), exits generate large cash distributions, driving total returns strongly positive. Step 4: The curve looks like a 'J' — negative at first, then strongly positive. Step 5: Investors must be prepared to show negative or low returns on capital statements in early years without panicking. Therefore, the J-curve is why PE requires patient capital with a 10-year time horizon — evaluating performance before year 5-6 is misleading."
"What is carried interest in private equity?","Carried interest explained: Step 1: Carried interest (or 'carry') is the PE fund manager's share of profits — typically 20% of all returns above the hurdle rate (usually 8%). Step 2: Example: Fund invests $200M, returns $400M total ($200M profit). After 8% hurdle, there is $184M of profit above the hurdle. PE firm takes 20% ($36.8M) as carry; investors receive 80% ($147.2M). Step 3: Carry aligns manager and investor interests — managers only profit when investors profit. Step 4: Politically controversial: carry is taxed as capital gains (20% rate) rather than ordinary income (37% rate) in the U.S., a major tax advantage for PE professionals. Step 5: Clawback provisions require managers to return carry if early wins are reversed by later losses. Therefore, carried interest is the primary incentive mechanism in PE — its structure (hurdle rate, clawback) defines how aligned the manager is with investor outcomes."
"What is dry powder in private equity?","Dry powder defined: Step 1: Dry powder refers to committed but undeployed capital — money that limited partners have promised to the fund but the manager hasn't yet called and invested. Step 2: Dry powder exists because PE funds don't take all capital upfront; they issue capital calls over 3-5 years as investment opportunities arise. Step 3: High global dry powder levels (currently $3-4 trillion industry-wide) can indicate: too much capital chasing too few deals (driving prices up), and increasing pressure on managers to deploy capital even at unfavorable valuations. Step 4: For investors, high dry powder means capital earns nothing while waiting to be called — the 'drag' reduces effective returns. Step 5: Dry powder peaks just before and during economic downturns when distressed opportunities arise. Therefore, tracking industry dry powder levels provides a signal of PE market saturation and competitive deal dynamics."
"What is the difference between growth equity and buyout private equity?","Growth equity vs. buyout: Step 1: Buyout PE acquires mature, cash-flow-positive businesses, using high leverage (LBO structure) and improving operational efficiency before selling. Target: stable, predictable businesses. Step 2: Growth equity invests in fast-growing companies that are already past the startup stage but need capital to scale — without the heavy leverage of buyouts. Step 3: Key differences: Growth equity is typically minority stake; buyouts are controlling positions. Growth equity uses no or minimal debt; buyouts use 60-70% debt. Growth equity targets 30-50%+ revenue-growing companies; buyouts target stable companies. Step 4: Risk profile: growth equity has higher market/execution risk (will the company scale?); buyout has higher financial risk (can the company service the debt?). Therefore, both strategies target 20%+ IRR but through fundamentally different mechanisms — scale-driven value creation vs. operational improvement plus financial leverage."
"What is the difference between venture capital and private equity?","VC vs. PE comparison: Step 1: Venture capital (VC) invests in early-stage startups (seed, Series A, B) that are often pre-revenue or early revenue — high risk, high potential. PE invests in mature businesses with established cash flows. Step 2: VC deals are minority stakes with limited control; PE buyouts are controlling positions. Step 3: VC funds expect most investments to fail — one 'unicorn' (100x return) can return the entire fund. PE funds expect most deals to generate positive returns. Step 4: VC uses no leverage; PE uses substantial debt in buyouts. Step 5: Time horizon: VC investments take 7-10 years to exit via IPO or acquisition; PE typically 4-7 years. Step 6: Fund sizes: top VC funds manage $500M-$5B; top PE buyout funds manage $10B-$100B+. Therefore, VC bets on future winners in nascent markets; PE bets on operational improvement in proven businesses — fundamentally different investment theories."
"What is a vintage year in private equity and why does it matter?","Vintage year explained: Step 1: A PE fund's vintage year is the year it was formed and began investing capital. Funds with the same vintage year invested in the same economic environment. Step 2: Vintage year is a critical benchmark — comparing Fund A (2019 vintage) to Fund B (2015 vintage) is unfair because they faced different market conditions. Step 3: 2005-2007 vintage funds invested at peak valuations before the financial crisis — most underperformed. 2009-2011 vintage funds invested at crisis lows — most outperformed significantly. Step 4: Cambridge Associates and Preqin publish vintage-year benchmarks showing the distribution of returns for each year cohort. Step 5: The concept of vintage diversification: investing across multiple PE funds in different vintage years reduces the risk of poor timing. Therefore, when evaluating PE track records, always compare within the same vintage year and note where in the cycle the fund was deploying capital."
